,pitch_type,fastball,start_speed,zone,code,type,b_score,p_score,ab_id,pitch_num,b_count,s_count,outs,on_1b,on_2b,on_3b,event,inning,left_batter,top,weather,start_time,year,day_game,b_0,b_1,b_2,b_3,s_0,s_1,s_2,o_0,o_1,o_2,s_over_b,b_over_s,on_2b3b,inning_sq_root,after_4_inning,after_5_inning,firstball,first2ball,abs_diff,diff,tie,ahead,behind,tempature,more_than_70,last_pitch_type,last_fastball,last_code,last_type,last_b,last_s,last_inplay,last_contact,last_pitch,last_run,last_in_play_out,last_pa,last_num,game_pitch,last_over_9,over_30_pitches,last_pa_homerun,last_pa_double_triple,last_pa_long,last_pa_so,last_pa_bb,last_pa_dp,last_pa_out
0,FF,1,90.6,13.0,C,S,0,0,2015000632,1,0,0,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0,0,1,1,0,0,1,0,0,76,1,FF,1,X,X,0,0,1,1,X,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
1,FF,1,93.5,11.0,F,S,0,0,2015000632,2,0,1,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1.0,0,0,0,1,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
2,FF,1,94.9,11.0,B,B,0,0,2015000632,3,0,2,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
3,CH,0,86.6,14.0,B,B,0,0,2015000632,4,1,2,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
4,FF,1,94.0,11.0,B,B,0,0,2015000632,5,2,2,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,CH,0,B,B,1,0,0,0,B,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
5,CH,0,87.1,11.0,F,S,0,0,2015000632,6,3,2,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
6,FF,1,94.2,2.0,F,S,0,0,2015000632,7,3,2,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0,76,1,CH,0,F,S,0,1,0,1,S,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
7,FF,1,94.2,11.0,B,B,0,0,2015000632,8,3,2,0,0,0,0,Walk,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Strikeout,4,0,0,0,0,0,0,1,0,0,1
8,FF,1,90.5,12.0,B,B,0,0,2015000633,1,0,0,0,1,0,0,Pop Out,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0,0,1,1,0,0,1,0,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Walk,8,8,0,0,0,0,0,0,1,0,0
9,FF,1,94.1,4.0,S,S,0,0,2015000633,2,1,0,0,1,0,0,Pop Out,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1.0,0,0,0,1,0,0,1,0,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Walk,8,8,0,0,0,0,0,0,1,0,0
10,SL,0,85.9,8.0,S,S,0,0,2015000633,3,1,1,0,1,0,0,Pop Out,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,S,S,0,1,0,0,S,0,0,Walk,8,8,0,0,0,0,0,0,1,0,0
11,SL,0,88.4,8.0,X,X,0,0,2015000633,4,1,2,0,1,0,0,Pop Out,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,SL,0,S,S,0,1,0,0,S,0,0,Walk,8,8,0,0,0,0,0,0,1,0,0
12,FF,1,91.6,1.0,F,S,0,0,2015000634,1,0,0,1,1,0,0,Strikeout,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0,0,1,1,0,0,1,0,0,76,1,SL,0,X,X,0,0,1,1,X,0,0,Pop Out,4,12,0,0,0,0,0,0,0,0,1
13,FF,1,92.4,1.0,T,S,0,0,2015000634,2,0,1,1,1,0,0,Strikeout,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1.0,0,0,0,1,0,0,1,0,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Pop Out,4,12,0,0,0,0,0,0,0,0,1
14,CH,0,83.9,13.0,*B,B,0,0,2015000634,3,0,2,1,1,0,0,Strikeout,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,T,S,0,1,0,1,S,0,0,Pop Out,4,12,0,0,0,0,0,0,0,0,1
15,FF,1,95.5,1.0,T,S,0,0,2015000634,4,1,2,1,1,0,0,Strikeout,1,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,CH,0,*B,B,1,0,0,0,B,0,0,Pop Out,4,12,0,0,0,0,0,0,0,0,1
16,FF,1,92.5,5.0,C,S,0,0,2015000635,1,0,0,2,1,0,0,Groundout,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1.0,0,0,1,1,0,0,1,0,0,76,1,FF,1,T,S,0,1,0,1,S,0,0,Strikeout,4,16,0,0,0,0,0,1,0,0,1
17,FF,1,92.5,14.0,B,B,0,0,2015000635,2,0,1,2,1,0,0,Groundout,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1.0,0,0,0,1,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Strikeout,4,16,0,0,0,0,0,1,0,0,1
18,FF,1,94.1,11.0,F,S,0,0,2015000635,3,1,1,2,1,0,0,Groundout,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Strikeout,4,16,0,0,0,0,0,1,0,0,1
19,CH,0,86.1,13.0,X,X,0,0,2015000635,4,1,2,2,1,0,0,Groundout,1,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Strikeout,4,16,0,0,0,0,0,1,0,0,1
20,FF,1,88.9,13.0,X,X,0,0,2015000641,1,0,0,0,0,0,0,Flyout,2,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1.4142135623730951,0,0,1,1,0,0,1,0,0,76,1,CH,0,X,X,0,0,1,1,X,0,0,Groundout,4,20,0,0,0,0,0,0,0,0,1
21,FF,1,89.3,4.0,C,S,0,0,2015000642,1,0,0,1,0,0,0,Strikeout,2,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.4142135623730951,0,0,1,1,0,0,1,0,0,76,1,FF,1,X,X,0,0,1,1,X,0,0,Flyout,1,21,0,0,0,0,0,0,0,0,1
22,FF,1,92.6,11.0,B,B,0,0,2015000642,2,0,1,1,0,0,0,Strikeout,2,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1.4142135623730951,0,0,0,1,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Flyout,1,21,0,0,0,0,0,0,0,0,1
23,FF,1,92.5,4.0,F,S,0,0,2015000642,3,1,1,1,0,0,0,Strikeout,2,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1.4142135623730951,0,0,0,0,0,0,1,0,0,76,1,FF,1,B,B,1,0,0,0,B,0,0,Flyout,1,21,0,0,0,0,0,0,0,0,1
24,SL,0,85.5,5.0,S,S,0,0,2015000642,4,1,2,1,0,0,0,Strikeout,2,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1.4142135623730951,0,0,0,0,0,0,1,0,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Flyout,1,21,0,0,0,0,0,0,0,0,1
